API Call 2023-01-27 18:05:53.734361 - No trades executed, Price 177.88 | Avg price 149.53
API Call 2023-01-28 19:51:15.998085 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 19:54:11.195744 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 19:57:26.235008 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 19:58:13.596475 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:01:13.335242 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:04:07.454437 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:07:33.254777 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:09:46.878899 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:20:55.088543 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:21:40.400497 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:22:04.117362 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:22:47.877670 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:37:19.395318 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:40:38.624268 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:41:12.928061 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:42:01.651497 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:53:21.197596 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:54:00.414827 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:57:20.526891 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:57:54.831167 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 20:59:00.304987 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 21:00:57.242945 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 21:05:03.257874 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 21:07:20.520964 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 21:10:21.677153 - No trades executed, Price 177.88 | Avg price 160.86666666666667
API Call 2023-01-28 21:14:45.375294 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:17:33.432927 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:20:39.571691 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:22:11.829409 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:23:31.995491 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:25:39.214713 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:26:18.854297 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:27:18.638442 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:29:16.460326 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:30:52.508075 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:32:01.302024 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:33:07.536775 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:39:09.089304 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:42:41.480832 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:44:22.825204 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:47:57.423671 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:52:58.581565 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 21:59:13.932882 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 22:00:24.540156 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 23:24:47.115407 - No trades executed, Price 177.88 | Avg price 160.87
API Call 2023-01-28 23:26:27.395509 - No trades executed, Price 177.88 | Avg price 160.87
